DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2018-11-01 00:00:00,32210637923,122138159739,3946
2018-11-02 00:00:00,32095124053,133479016274,4456
2018-11-03 00:00:00,28970581659,145580839453,4183
2018-11-04 00:00:00,23758397575,111782801158,3872
2018-11-05 00:00:00,16267438872,121859509509,3952
2018-11-06 00:00:00,13438489979,117447581882,3836
2018-11-07 00:00:00,13098313788,165274976984,4099
2018-11-08 00:00:00,14211464148,115494781755,4164
2018-11-09 00:00:00,17526335263,137659566933,4461
2018-11-10 00:00:00,20163558417,122936673265,3474
2018-11-11 00:00:00,26255419723,110326305507,3890
2018-11-12 00:00:00,15454606938,104997742292,4149
2018-11-13 00:00:00,11598987708,110111510989,3498
2018-11-14 00:00:00,10030936427,97802723176,3847
2018-11-15 00:00:00,12718994035,126097071867,3877
2018-11-16 00:00:00,21187753599,122613988701,5354
2018-11-17 00:00:00,23472810835,103684399119,4213
2018-11-18 00:00:00,14989295639,95477059459,2847
2018-11-19 00:00:00,8090252222,95993073910,3109
2018-11-20 00:00:00,7648721014,113633787193,2807
2018-11-21 00:00:00,14174786106,140052701316,4119
2018-11-22 00:00:00,14395373706,119707990824,3640
2018-11-23 00:00:00,16487557294,114155450517,4622
2018-11-24 00:00:00,18557198906,102414725248,4051
2018-11-25 00:00:00,14164563663,95131900425,3651
2018-11-26 00:00:00,12014706060,130880841047,3065
2018-11-27 00:00:00,10085839879,110250565456,2828
2018-11-28 00:00:00,12652206626,147188194923,3453
2018-11-29 00:00:00,10004235347,120480196441,3214
2018-11-30 00:00:00,12833364020,120747025477,3314
